"University of Texas at San Antonio Schedule of Classes"
""
"These are the search criteria you submitted :"
"Term: Fall 2014"
"Subject:    PHY "
"Course Number: %"
"Attributes: Any"
"Part of Term: Any"
Time Blocks: Any
"Campus: Any"
""
"FALL 2014 (201510)"
"Status","Subject","Course","Section","CRN","Title","Cred","Meeting Days","Times","Campus","Location","Instructor","Date","Weeks","Seats","Enrolled","Available","Final Exam","Fees","Notes","Comments"
"OPEN","PHY","7101","001","15689","Doctoral Research",  1,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,3,1,2,To be determined by instructor ,   $40,BO, 
"OPEN","PHY","7101","002","15730","Doctoral Research",  1,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,   $40,O, 
"OPEN","PHY","7103","001","12025","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Chen, Chonglin",08/27-12/20,16,6,1,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","002","12026","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Chen, Chonglin",08/27-12/20,16,6,1,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","003","12027","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Sardar, Dhiraj",08/27-12/20,16,6,2,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","004","13161","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Peralta, Xomalin G.",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","005","13166","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Peralta, Xomalin G.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","006","13167","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Jose-Yacaman, Miguel",08/27-12/20,16,5,4,1,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","007","13168","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Diaz, Mario",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","008","13169","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Diaz, Mario",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,, 
"OPEN","PHY","7103","009","13186","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Diaz, Mario",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,G, 
"OPEN","PHY","7103","010","13187","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Martirosyan, Karen",08/27-12/20,16,3,2,1,To be determined by instructor ,  $120,G, 
"OPEN","PHY","7103","011","13188","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Martirosyan, Karen",08/27-12/20,16,3,2,1,To be determined by instructor ,  $120,G, 
"OPEN","PHY","7103","012","13666","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Mohanty, Soumya",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","013","13667","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Mohanty, Soumya",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","014","13668","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Mohanty, Soumya",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","015","14168","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Price, Richard",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","016","14169","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Price, Richard",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","017","14170","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Price, Richard",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","018","14171","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","McComas, David J.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","019","14172","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","McComas, David J.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","020","14173","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","McComas, David J.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","021","14174","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","McComas, David J.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","022","14175","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Chabanov, Andrey",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","023","14222","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Chabanov, Andrey",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","024","14223","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Chabanov, Andrey",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","025","14224","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Jenet, Fredrick A.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","026","14225","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Jenet, Fredrick A.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","027","15199","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Goldstein, Jerry",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","028","15200","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Goldstein, Jerry",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","029","15201","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Roming, Peter",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","030","15202","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Roming, Peter",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","031","15218","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Roming, Peter",08/27-12/20,16,2,1,1,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","032","15219","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Jahn, Jorg-Micha",08/27-12/20,16,3,2,1,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","033","15221","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Jahn, Jorg-Micha",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","034","15222","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Jahn, Jorg-Micha",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","035","15223","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Nash, Kelly L.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","036","15233","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Chen, Liao Y.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","037","15234","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Nash, Kelly L.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","038","15235","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Nash, Kelly L.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","039","15236","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Mukherjee, Soma",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","040","15237","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Schlegel, Eric M.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","041","15683","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Schlegel, Eric M.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","042","15239","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Schlegel, Eric M.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","043","15238","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","044","15694","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","045","15695","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,3,0,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","046","15696","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Koinov, Zlatko G.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","047","15697","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Koinov, Zlatko G.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","048","15698","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,3,0,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","049","15699","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,3,0,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","050","15700","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,3,0,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7103","051","15765","Doctoral Research",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7111","001","15148","Doctoral Dissertation",  1,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,5,1,4,To be determined by instructor ,   $40,BO, 
"OPEN","PHY","7111","002","16664","Doctoral Dissertation",  1,"TBA","TBA","Main Camp"," ","Ayon, Arturo A.",08/27-12/20,16,5,1,4,To be determined by instructor ,   $40,O, 
"OPEN","PHY","7111","003","18229","Doctoral Dissertation",  1,"TBA","TBA","Main Camp"," ","Livi, Stefano A.",08/27-12/20,16,5,2,3,To be determined by instructor ,   $40,BO, 
"OPEN","PHY","7111","004","18230","Doctoral Dissertation",  1,"TBA","TBA","Main Camp"," ","Chabanov, Andrey",08/27-12/20,16,5,1,4,To be determined by instructor ,   $40,BO, 
"CLOSED","PHY","7113","001","12489","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Waite, Jack H.",08/27-12/20,16,1,1,0,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","002","12651","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Waite, Jack H.",08/27-12/20,16,6,1,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","003","13170","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Waite, Jack H.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","004","13194","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Schlegel, Eric M.",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","005","13196","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Schlegel, Eric M.",08/27-12/20,16,5,3,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","006","13197","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Schlegel, Eric M.",08/27-12/20,16,5,3,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","007","13498","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Chen, Chonglin",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,, 
"OPEN","PHY","7113","008","13499","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Chen, Chonglin",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,, 
"OPEN","PHY","7113","009","13500","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Chen, Chonglin",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,, 
"OPEN","PHY","7113","010","15099","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,5,3,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","011","15208","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,5,2,3,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","012","15209","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Nash, Kelly L.",08/27-12/20,16,5,3,2,To be determined by instructor ,  $120,B, 
"CLOSED","PHY","7113","013","15210","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Nash, Kelly L.",08/27-12/20,16,3,3,0,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","014","15217","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Ponce-Pedraza, Arturo",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","015","15230","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Sardar, Dhiraj",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","016","15231","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Sardar, Dhiraj",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","017","15232","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Nash, Kelly L.",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","018","16461","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Jahn, Jorg-Micha",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","019","16462","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Jahn, Jorg-Micha",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","020","16463","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Jahn, Jorg-Micha",08/27-12/20,16,3,1,2,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","021","16626","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Brancaleon, Lorenzo",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","022","16627","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Goldstein, Jerry",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","023","16628","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Lopez-Mobilia, Rafael A.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","024","16657","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Lopez-Mobilia, Rafael A.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","025","16629","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Lopez-Mobilia, Rafael A.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","026","16630","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Marucho, Marcelo D.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","026","16682","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Peralta, Xomalin G.",08/27-12/20,16,5,1,4,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","027","16665","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","028","16666","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","029","16667","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","030","16668","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","031","16669","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","032","16670","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","033","16671","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","034","16672","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","035","16673","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","036","16674","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","037","16675","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","038","16676","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","039","16677","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","040","16678","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7113","041","16679","Doctoral Dissertation",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,5,0,5,To be determined by instructor ,  $120,B, 
"CANCELED","PHY","7603","001","16277","Topics: Nanostructures",  3,"TBA","TBA","Main Camp"," ","Staff",08/27-12/20,16,10,0,10,To be determined by instructor ,  $120,B, 
"OPEN","PHY","7603","002","18196","Top:Intro to Superconductivity",  3,"TR","5:30-6:45pm","Main Camp","AET 0.214","Millan Malo, Jose Samuel",08/27-12/20,16,10,4,6,Tue  Dec 16  06:00 pm - 08:30 pm  ,  $120,, 
"OPEN","PHY","7703","001","16234","Topics: Solar & Heliospheric",  3,"TR","1:00-2:15pm","Off Campu","TBA ","Desai, Mihir I.",08/27-12/20,16,30,5,25,Wed  Dec 17  09:45 am - 12:15 pm  ,  $120,B,Course held at the SWRI Campus.Building 263  Classroom # 2.118.
"OPEN","PHY","7973","001","18083","SP TOP: Nanoscience",  3,"TR","7:30-8:45pm","Main Camp","AET 0.214","Whetten, Robert L.",08/27-12/20,16,20,13,7,Thu  Dec 18  06:00 pm - 08:30 pm  ,  $120,,Cross-listed w/PHY 4953. 002.Credit cannot be earned for both PHY 7973 % PHY 4953.
"OPEN","PHY","7973","002","16426","Top: Experimental Methods Phys",  3,"W","10:00-12:45pm","Main Camp","MS 3.02.14","Nash, Kelly L.",08/27-12/20,16,18,17,1,Wed  Dec 17  07:00 am - 09:30 am  ,  $120,B, 
"Total number of courses =   231"
